,Id,SalePrice,Lot Area,Garage Area,Garage Type,Garage Cars,Fireplaces,Fireplace Qu,Fence,Paved Drive,Street,Central Air,Overall Qual,Overall Cond,total_sqr_ft,total_full_bathrooms,total_half_bathrooms,has_basement,total_sqr_ft^2
52,2351,250000,16692,564.0,Attchd,2.0,2,TA,MnPrv,Y,Pave,Y,Good,Average,4176.0,4.0,1.0,1,17438976.0
53,330,76000,1476,0.0,No Garage,0.0,0,No fireplace,No fence,Y,Pave,Y,Fair,Good,1638.0,1.0,1.0,1,2683044.0
54,2586,155000,10170,400.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Average,Good,1791.0,1.0,1.0,1,3207681.0
55,224,158000,9364,299.0,Attchd,1.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Good,2015.0,1.0,1.0,1,4060225.0
56,98,149500,2544,480.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,1800.0,3.0,1.0,1,3240000.0
57,2565,121000,9888,240.0,Attchd,1.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Good,1872.0,1.0,0.0,1,3504384.0
58,1934,136000,7942,293.0,Attchd,1.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Good,2080.0,1.0,1.0,1,4326400.0
59,997,173000,15038,386.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Average,Average,2552.0,2.0,1.0,1,6512704.0
60,64,290000,11764,671.0,Attchd,3.0,1,Gd,No fence,Y,Pave,Y,Good,Good,3422.0,2.0,1.0,1,11710084.0
61,1799,303477,9000,550.0,BuiltIn,2.0,1,Gd,No fence,Y,Pave,Y,Good,Average,3794.0,2.0,1.0,1,14394436.0
62,230,270000,20062,690.0,Attchd,2.0,2,TA,No fence,Y,Pave,Y,Good,Good,2903.0,2.0,1.0,1,8427409.0
63,1295,122250,7308,225.0,Detchd,1.0,1,Gd,No fence,N,Pave,N,Average,Average,2676.0,1.0,0.0,1,7160976.0
64,638,153000,8750,350.0,Attchd,1.0,0,No fireplace,GdWo,Y,Pave,Y,Average,Average,2764.0,1.0,1.0,1,7639696.0
65,2278,147000,8402,0.0,No Garage,0.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,2240.0,1.0,0.0,1,5017600.0
66,2202,148500,4000,216.0,Detchd,1.0,1,Gd,MnPrv,Y,Pave,Y,Good,Good,1629.0,2.0,0.0,1,2653641.0
67,2833,130000,3363,380.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2684.0,2.0,0.0,1,7203856.0
68,1707,372000,13615,843.0,Attchd,3.0,1,Gd,No fence,Y,Pave,Y,Excellent,Average,3604.0,2.0,1.0,1,12988816.0
69,2428,213490,3013,440.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Good,Average,2868.0,2.0,0.0,1,8225424.0
70,242,308030,17485,572.0,Attchd,2.0,2,TA,No fence,Y,Pave,Y,Good,Average,3016.0,2.0,0.0,1,9096256.0
71,1564,300000,23730,786.0,Attchd,3.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,3872.0,4.0,0.0,1,14992384.0
72,2613,159500,8910,539.0,BuiltIn,2.0,1,Fa,No fence,Y,Pave,Y,Average,Good,1849.0,1.0,1.0,1,3418801.0
73,2832,137500,2522,380.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2679.0,2.0,0.0,1,7177041.0
74,2459,232000,8688,834.0,Attchd,3.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,3232.0,2.0,0.0,1,10445824.0
75,1360,93850,6291,440.0,Detchd,2.0,0,No fireplace,No fence,N,Grvl,Y,Average,Good,1536.0,1.0,0.0,1,2359296.0
76,2723,105000,17529,322.0,Detchd,1.0,1,Gd,No fence,N,Pave,N,Average,Average,1744.0,1.0,0.0,1,3041536.0
77,1350,68500,6324,240.0,Detchd,1.0,0,No fireplace,No fence,Y,Pave,N,Fair,Good,1040.0,1.0,0.0,1,1081600.0
78,136,154300,11600,480.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,3379.0,2.0,0.0,1,11417641.0
79,2235,129850,7288,0.0,No Garage,0.0,0,No fireplace,No fence,N,Pave,Y,Average,Good,2537.0,2.0,0.0,1,6436369.0
80,1993,114000,4571,480.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,1848.0,1.0,0.0,1,3415104.0
81,367,501837,17423,1166.0,Attchd,3.0,1,Gd,No fence,Y,Pave,Y,Excellent,Average,4450.0,3.0,0.0,1,19802500.0
82,1309,153900,12665,720.0,Detchd,3.0,1,Gd,No fence,Y,Pave,Y,Average,Good,2292.0,1.0,1.0,1,5253264.0
83,402,130000,9000,576.0,Detchd,2.0,0,No fireplace,GdWo,Y,Pave,Y,Fair,Good,1728.0,1.0,0.0,1,2985984.0
84,1592,160500,4500,392.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,2378.0,3.0,0.0,1,5654884.0
85,2409,310090,6373,575.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Excellent,Average,3332.0,3.0,0.0,1,11102224.0
86,539,184900,10083,555.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2376.0,3.0,0.0,1,5645376.0
87,1940,132000,13300,252.0,Attchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,1856.0,1.0,0.0,1,3444736.0
88,588,163000,9600,502.0,Attchd,2.0,1,Fa,No fence,Y,Pave,Y,Average,Average,2624.0,2.0,1.0,1,6885376.0
89,96,155000,3215,480.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,1800.0,2.0,1.0,1,3240000.0
90,1187,183000,11104,516.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,2854.0,2.0,1.0,1,8145316.0
91,2154,211000,15295,608.0,Attchd,2.0,2,TA,No fence,Y,Pave,Y,Good,Average,2852.0,3.0,1.0,1,8133904.0
92,550,184000,9109,495.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2294.0,3.0,1.0,1,5262436.0
93,811,118858,7018,400.0,Attchd,2.0,0,No fireplace,GdPrv,Y,Pave,Y,Average,Average,1535.0,2.0,0.0,0,2356225.0
94,124,180500,14112,484.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Average,Good,2304.0,2.0,0.0,1,5308416.0
95,1836,166000,3523,484.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2292.0,3.0,0.0,1,5253264.0
96,779,148000,15312,480.0,Attchd,2.0,1,TA,MnPrv,Y,Pave,Y,Average,Average,2276.0,1.0,1.0,1,5180176.0
97,1886,124000,7450,396.0,Detchd,2.0,1,Gd,GdWo,Y,Pave,Y,Average,Average,1968.0,1.0,0.0,1,3873024.0
98,1724,277500,7313,556.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Excellent,Average,3122.0,3.0,0.0,1,9746884.0
99,2450,350000,10019,725.0,Attchd,3.0,1,Ex,No fence,Y,Pave,Y,Good,Average,4068.0,2.0,1.0,1,16548624.0
100,1013,387000,15401,670.0,Attchd,3.0,1,Gd,No fence,Y,Pave,Y,Excellent,Average,3768.0,3.0,0.0,1,14197824.0
101,2084,86000,9098,0.0,No Garage,0.0,0,No fireplace,No fence,N,Pave,Y,Fair,Good,1133.0,2.0,0.0,1,1283689.0
102,1184,290000,16280,550.0,Attchd,2.0,1,Gd,GdWo,Y,Pave,Y,Good,Excellent,3097.0,4.0,0.0,1,9591409.0
103,728,44000,9392,0.0,No Garage,0.0,0,No fireplace,No fence,N,Pave,N,Fair,Fair,1042.0,1.0,0.0,1,1085764.0
104,950,215000,12209,560.0,BuiltIn,2.0,1,TA,No fence,Y,Pave,Y,Average,Average,2765.0,3.0,1.0,1,7645225.0
105,2524,146500,13110,501.0,Attchd,2.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Good,2346.0,3.0,0.0,1,5503716.0
106,2513,165000,2651,490.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2055.0,3.0,1.0,1,4223025.0
107,2028,136000,8520,216.0,Detchd,1.0,1,Gd,GdWo,Y,Pave,N,Average,Good,3240.0,2.0,0.0,1,10497600.0
108,2309,252000,39384,550.0,Attchd,2.0,2,Gd,No fence,Y,Pave,Y,Average,Good,3095.0,2.0,1.0,1,9579025.0
109,51,175500,2628,474.0,BuiltIn,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2390.0,2.0,1.0,1,5712100.0
110,699,150000,6406,400.0,Detchd,2.0,1,Gd,MnPrv,Y,Pave,Y,Average,Good,2248.0,1.0,1.0,1,5053504.0
111,1881,139900,12342,286.0,Attchd,1.0,1,TA,GdWo,Y,Pave,Y,Average,Average,2400.0,1.0,0.0,1,5760000.0
112,1345,162900,6240,360.0,Detchd,2.0,1,Gd,No fence,P,Pave,Y,Average,Good,2651.0,2.0,0.0,1,7027801.0
113,166,160000,10000,440.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,2232.0,1.0,1.0,1,4981824.0
114,781,63900,9000,0.0,No Garage,0.0,0,No fireplace,No fence,N,Pave,N,Poor,Poor,660.0,1.0,0.0,0,435600.0
115,379,184000,11088,479.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Average,Average,2847.0,2.0,0.0,1,8105409.0
116,2818,149900,17755,528.0,Attchd,2.0,2,Gd,No fence,Y,Pave,Y,Average,Fair,2932.0,1.0,1.0,1,8596624.0
117,1168,300000,4765,495.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Excellent,Average,3252.0,3.0,0.0,1,10575504.0
118,1396,145000,10532,626.0,Basment,2.0,2,TA,No fence,Y,Pave,Y,Average,Fair,2709.0,3.0,0.0,1,7338681.0
119,838,231500,15426,470.0,Attchd,2.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Average,2692.0,3.0,1.0,1,7246864.0
120,1492,108000,13907,0.0,No Garage,0.0,1,Gd,No fence,Y,Pave,Y,Average,Good,1992.0,2.0,0.0,1,3968064.0
121,637,120000,8750,304.0,Attchd,1.0,0,No fireplace,GdWo,Y,Pave,Y,Average,Average,2404.0,1.0,1.0,1,5779216.0
122,1826,128500,9945,572.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,1976.0,2.0,0.0,1,3904576.0
123,173,115000,8960,360.0,Detchd,2.0,1,Gd,No fence,Y,Pave,Y,Average,Good,2036.0,1.0,0.0,1,4145296.0
124,715,110000,3500,240.0,Detchd,1.0,0,No fireplace,MnWw,Y,Pave,Y,Average,Good,2004.0,1.0,1.0,1,4016016.0
125,1183,150000,24572,864.0,Attchd,3.0,1,Gd,No fence,Y,Pave,Y,Excellent,Fair,3938.0,2.0,2.0,1,15507844.0
126,2433,178000,9056,403.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Good,Average,2121.0,2.0,1.0,1,4498641.0
127,2866,199500,12320,579.0,2Types,3.0,2,Gd,GdWo,Y,Pave,Y,Good,Good,2246.0,1.0,1.0,1,5044516.0
128,2311,183500,8238,400.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Average,Average,2338.0,3.0,1.0,1,5466244.0
129,1551,126000,6000,288.0,Attchd,1.0,1,Po,MnPrv,Y,Pave,Y,Average,Average,2280.0,1.0,1.0,1,5198400.0
130,1049,148500,2529,440.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Good,2110.0,2.0,0.0,1,4452100.0
131,657,149000,10800,720.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,2028.0,2.0,1.0,1,4112784.0
132,414,137900,2349,440.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Average,Average,2311.0,2.0,1.0,1,5340721.0
133,1181,324000,10846,473.0,Attchd,2.0,2,Gd,No fence,Y,Pave,Y,Good,Average,3438.0,3.0,1.0,1,11819844.0
134,1514,98000,5604,0.0,No Garage,0.0,0,No fireplace,No fence,Y,Pave,N,Average,Good,1728.0,2.0,0.0,1,2985984.0
135,1040,103400,1680,264.0,Detchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,1470.0,1.0,2.0,1,2160900.0
136,216,94000,6342,0.0,No Garage,0.0,0,No fireplace,No fence,N,Pave,N,Average,Good,1800.0,1.0,0.0,1,3240000.0
137,1720,209500,4590,627.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Good,Average,3108.0,2.0,0.0,1,9659664.0
138,2331,545224,18062,758.0,BuiltIn,3.0,1,Ex,No fence,Y,Pave,Y,Excellent,Average,4918.0,3.0,1.0,1,24186724.0
139,204,159900,12900,0.0,No Garage,0.0,0,No fireplace,No fence,N,Pave,Y,Average,Good,2340.0,1.0,1.0,1,5475600.0
140,19,141000,19138,400.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Fair,Average,1728.0,1.0,0.0,1,2985984.0
141,2438,215000,8658,431.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Average,Average,2871.0,2.0,1.0,1,8242641.0
142,89,127000,6897,260.0,Detchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,2080.0,2.0,1.0,1,4326400.0
143,240,128000,9525,366.0,Attchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,2344.0,2.0,0.0,1,5494336.0
144,105,267916,12853,852.0,Attchd,3.0,1,Gd,No fence,Y,Pave,Y,Good,Average,3060.0,2.0,1.0,1,9363600.0
145,2020,127500,6240,560.0,Detchd,1.0,1,Gd,No fence,Y,Pave,Y,Average,Good,2251.0,1.0,0.0,1,5067001.0
146,888,198500,7301,672.0,BuiltIn,2.0,1,Ex,No fence,Y,Pave,Y,Good,Average,1922.0,3.0,0.0,0,3694084.0
147,1019,175500,12090,576.0,Attchd,2.0,1,TA,GdPrv,Y,Pave,Y,Average,Good,2844.0,2.0,0.0,1,8088336.0
148,2132,217500,8826,486.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Good,Average,2827.0,3.0,1.0,1,7991929.0
149,203,149500,8094,572.0,Detchd,2.0,1,TA,GdPrv,Y,Pave,Y,Fair,Average,2850.0,1.0,1.0,1,8122500.0
150,420,148800,10710,656.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Average,Good,1984.0,1.0,1.0,1,3936256.0
151,2333,556581,16056,716.0,BuiltIn,3.0,1,Gd,No fence,Y,Pave,Y,Excellent,Average,4860.0,3.0,1.0,1,23619600.0
152,632,156500,8400,442.0,Attchd,2.0,2,Gd,No fence,Y,Pave,Y,Average,Fair,2956.0,2.0,1.0,1,8737936.0
153,2800,237000,11250,610.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Good,Average,2925.0,3.0,1.0,1,8555625.0
154,1885,120000,7535,297.0,Attchd,1.0,0,No fireplace,MnWw,Y,Pave,Y,Average,Good,1824.0,1.0,1.0,1,3326976.0
155,1734,203000,12216,388.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,2652.0,3.0,0.0,1,7033104.0
156,2327,130000,3701,461.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2395.0,2.0,0.0,1,5736025.0
157,1282,167900,9760,442.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,2391.0,2.0,1.0,1,5716881.0
158,2688,129000,9873,576.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,N,Fair,Average,1920.0,2.0,0.0,1,3686400.0
159,2581,134450,10011,447.0,Attchd,1.0,1,Fa,MnPrv,Y,Pave,Y,Average,Good,2306.0,1.0,1.0,1,5317636.0
160,2067,112000,25339,576.0,Attchd,2.0,0,No fireplace,No fence,N,Pave,Y,Average,Good,2232.0,2.0,0.0,1,4981824.0
161,2115,207000,8883,619.0,Attchd,2.0,1,TA,GdPrv,Y,Pave,Y,Good,Average,2802.0,3.0,1.0,1,7851204.0
162,754,62500,3000,0.0,No Garage,0.0,0,No fireplace,No fence,Y,Pave,N,Average,Poor,3168.0,2.0,0.0,1,10036224.0
163,1079,154000,2448,474.0,BuiltIn,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2390.0,3.0,1.0,1,5712100.0
164,2615,129900,7100,308.0,Detchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,1632.0,2.0,0.0,1,2663424.0
165,329,85000,2592,336.0,Attchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Fair,1648.0,1.0,1.0,1,2715904.0
166,1320,116900,5700,288.0,Detchd,1.0,1,Gd,No fence,Y,Pave,Y,Good,Good,1683.0,1.0,0.0,1,2832489.0
167,416,148500,2289,440.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Average,Good,2296.0,2.0,1.0,1,5271616.0
168,284,80000,12180,280.0,Detchd,1.0,0,No fireplace,MnPrv,Y,Pave,N,Fair,Fair,1596.0,2.0,0.0,1,2547216.0
169,1385,152000,7400,506.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,2186.0,2.0,0.0,1,4778596.0
170,275,155891,8842,319.0,Detchd,1.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Good,1373.0,1.0,0.0,1,1885129.0
171,2024,165000,8850,576.0,Detchd,2.0,0,No fireplace,No fence,P,Pave,Y,Average,Good,2144.0,1.0,0.0,1,4596736.0
172,68,204500,9215,676.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2436.0,2.0,0.0,1,5934096.0
173,1910,146500,9480,312.0,Attchd,1.0,2,Gd,No fence,Y,Pave,Y,Average,Good,2372.0,1.0,1.0,1,5626384.0
174,381,157000,11880,478.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Good,Average,2872.0,2.0,0.0,1,8248384.0
175,1323,184000,10800,342.0,Detchd,2.0,1,Gd,No fence,Y,Pave,Y,Good,Good,3808.0,2.0,0.0,1,14500864.0
176,2432,183200,7861,393.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Average,Average,2292.0,3.0,1.0,1,5253264.0
177,777,139000,11616,288.0,Attchd,1.0,1,Po,No fence,Y,Pave,Y,Average,Average,2184.0,1.0,1.0,1,4769856.0
178,1107,341000,10542,983.0,Attchd,3.0,1,TA,No fence,Y,Pave,Y,Good,Average,3729.0,3.0,1.0,1,13905441.0
179,30,96000,1680,264.0,Detchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,1470.0,1.0,1.0,1,2160900.0
180,282,140000,8546,440.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Fair,Average,2242.0,2.0,0.0,1,5026564.0
181,188,149700,7407,923.0,Attchd,2.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Good,2148.0,2.0,0.0,1,4613904.0
182,2356,153500,10140,495.0,Attchd,2.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Good,2130.0,2.0,1.0,1,4536900.0
183,1554,13100,14584,487.0,Attchd,2.0,0,No fireplace,No fence,N,Pave,N,Poor,Average,733.0,1.0,0.0,0,537289.0
184,1464,224900,8158,543.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2652.0,3.0,1.0,1,7033104.0
185,2469,176000,7500,453.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Good,Average,2523.0,2.0,0.0,1,6365529.0
186,1834,285000,10678,541.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Good,Average,4555.0,2.0,1.0,1,20748025.0
187,1779,282922,15256,754.0,Attchd,3.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2949.0,3.0,0.0,1,8696601.0
188,2569,226000,14200,487.0,Attchd,2.0,2,Gd,GdPrv,Y,Pave,Y,Good,Good,3081.0,2.0,1.0,1,9492561.0
189,2334,361919,12438,666.0,BuiltIn,3.0,1,Gd,No fence,Y,Pave,Y,Good,Average,3810.0,2.0,1.0,1,14516100.0
190,2330,457347,16023,670.0,BuiltIn,3.0,1,Gd,No fence,Y,Pave,Y,Excellent,Average,4196.0,4.0,1.0,1,17606416.0
